"plotcode","mean_biomass","SGM","sowndiv","mean_org_02","mean_inorg_02","mean_C_02","mean_org_20","mean_inorg_20","mean_bulk","mean_C_20","block","TNleaching_av","leach_costs","meanSR","mean_org_diff","SOC_costs","costs_total"
"B3A13",435.558421052632,117.486401578947,4,20.0133333333333,13.0766666666667,33.09,21.3104907416667,21.137494145,1.129676881,42.4479848866667,"B3",1.14541011177537,-12.8629555552375,3.03389830508475,1.29715740833333,156.875049948125,261.498495971835
"B3A14",903.394210526316,437.018245789474,60,18.04,13.0866666666667,31.1266666666667,20.8609804766667,19.1163591066667,1.15169719816667,39.9773395833333,"B3",1.82590135437805,-20.5048722096655,33.7894736842105,2.82098047666667,347.812628625514,764.326002205322
"B3A16",753.440789473684,334.600059210526,16,17.3721666666667,16.3,33.6721666666667,20.2222597766667,20.5638617283333,1.12964691816667,40.786121505,"B3",1.62688765758732,-18.2699483947056,10.3389830508475,2.85009311,344.674160046753,661.004270862574
"B3A17",63.3226315789474,-136.750642631579,1,19.7111666666667,14.1666666666667,33.8778333333333,17.1350354033333,20.508566085,1.36643478883333,37.6436014883333,"B3",3.40475208807088,-38.235365949036,1,-2.57613126333333,-376.845951879557,-551.831960460172
"B3A19",182.039473684211,-55.6670394736842,2,20.6766666666667,17.0733333333333,37.75,19.2839792583333,18.1389977483333,1.2727740835,37.4229770066667,"B3",1.70272253223964,-19.1215740370512,1.98305084745763,-1.39268740833333,-189.763170756735,-264.55178426747
"B3A20",598.342368421053,228.667837631579,8,19.9266666666667,15.8633333333333,35.79,18.9094934083333,16.265840325,1.30204129733333,35.1753337333333,"B3",3.52014490808744,-39.531227317822,5.1864406779661,-1.01717325833333,-141.783812098952,47.3527982148054
"B3A21",305.829473684211,28.8815305263158,2,21.71,15.15,36.86,20.0006876983333,15.6242343016667,1.2796586495,35.624922,"B3",7.96739577067376,-89.4738545046663,1.98305084745763,-1.70931230166667,-234.165284548056,-294.757608526406
"B3A22",748.3315,331.1104145,16,22.12,14.8733333333333,36.9933333333333,22.56712392,15.705884195,1.21282962716667,38.273008115,"B3",1.70503530389312,-19.1475464627197,12.3,0.447123920000003,58.054335361972,370.017203399252
"B3A23",438.826315789474,119.718373684211,4,22.1633333333333,13.7133333333333,35.8766666666667,22.5439669433333,14.2926547083333,1.21942731383333,36.8366216516667,"B3",1.18974589556863,-13.3608464072358,3.41666666666667,0.38063361,49.6901157300102,156.047643006985
"B3A24",718.648684210526,310.837051315789,16,26.0166666666667,15.3733333333333,41.39,26.5455280983333,16.4176770733333,1.19880759183333,42.9632051716667,"B3",1.93878975277651,-21.7726089236802,11.2881355932203,0.52886143166667,67.8732017966159,356.937644188725
"B4A01",927.673157894737,453.600766842105,60,20.17,31.5833333333333,51.7533333333333,21.0171659883333,33.5071406183333,1.283039363,54.5243066066667,"B4",1.48807696496672,-16.7111043165763,34.9491525423729,0.847165988333334,116.363144274883,553.252806800412
"B4A02",394.107204210526,89.1752204757895,16,19.7241666666667,31.2891666666667,51.0133333333333,22.511840975,31.4651377216667,1.214772208,53.9769786966667,"B4",0.721995045152436,-8.10800435706186,13,2.78767430833333,362.529903805038,443.597119923765
"B4A03",7.927,-174.585859,1,20.6066666666667,30.6666666666667,51.2733333333333,18.5849742668333,32.9642232583333,1.29727243233333,51.5491975251667,"B4",1.29239870606566,-14.5136374691174,0.857142857142857,-2.02169239983333,-280.771630134824,-469.871126603941
"B4A04",358.596842105263,64.9216431578947,4,18.5,28.2833333333333,46.7833333333333,14.4372468648333,31.3385673233333,1.2871362685,45.7758141881667,"B4",4.54353983577649,-51.0239523557699,2.95,-4.06275313516667,-559.824521825218,-545.926831023094
"B4A06",200.351578947368,-43.1598715789474,8,18.1933333333333,34.6966666666667,52.89,19.296109655,34.7345382866667,1.33042357183333,54.0306479416667,"B4",1.71954762399741,-19.310519817491,7.68965517241379,1.10277632166666,157.066772348838,94.5963809523996
"B4A07",271.543157894737,5.46397684210527,4,17.29,34.2966666666667,51.5866666666667,16.5741982316667,35.0867694983333,1.34895480716667,51.66096773,"B4",6.24495330695544,-70.1308256371096,2.69491525423729,-0.715801768333332,-103.370620424767,-168.037469219771
"B4A08",214.445,-33.534065,8,16.11,30.88,46.99,14.9435625421667,31.6731768366667,1.300956109,46.6167393788333,"B4",1.56546526417853,-17.5801749167249,6.67796610169492,-1.16643745783333,-162.454242825723,-213.568482742448
"B4A09",138.593947368421,-85.3403339473684,1,14.9033333333333,37.0866666666667,51.99,13.1378878791667,37.9723633116667,1.30618060866667,51.1102511908333,"B4",6.69248898426589,-75.156651293306,1,-1.76544545416666,-246.867825598344,-407.364810839018
