year;month;plot;treatment;depth.min;depth.max;root.bm;coarse_root.bm;fine_root.bm
2021;6;B3A13;D1;0;0.05;424.136;154.581;269.555
2021;6;B3A13;D2;0;0.05;115.657;0;115.657
2021;6;B3A13;D3;0;0.05;218.597;30.189;188.408
2021;6;B3A14;D1;0;0.05;149.45;0;149.45
2021;6;B3A14;D2;0;0.05;103.591;0;103.591
2021;6;B3A14;D3;0;0.05;105.563;0;105.563
2021;6;B3A16;D1;0;0.05;80.466;28.117;52.35
2021;6;B3A16;D2;0;0.05;173.643;112.21;61.434
2021;6;B3A16;D3;0;0.05;135.759;0;135.759
2021;6;B3A17;D1;0;0.05;27.772;0;27.772
2021;6;B3A17;D2;0;0.05;68.708;57.024;11.685
2021;6;B3A17;D3;0;0.05;22.587;0;22.587
2021;6;B3A19;D1;0;0.05;156.688;95.779;60.91
2021;6;B3A19;D2;0;0.05;49.097;23.869;25.228
2021;6;B3A19;D3;0;0.05;6.801;0;6.801
2021;6;B3A20;D1;0;0.05;28.454;0;28.454
2021;6;B3A20;D2;0;0.05;24.475;0;24.475
2021;6;B3A20;D3;0;0.05;147.539;95.81;51.729
2021;6;B3A21;D1;0;0.05;61.12;3.206;57.914
2021;6;B3A21;D2;0;0.05;78.826;33.806;45.019
2021;6;B3A21;D3;0;0.05;56.539;0;56.539
2021;6;B3A22;D1;0;0.05;221.553;0;221.553
2021;6;B3A22;D2;0;0.05;212.876;0;212.876
2021;6;B3A22;D3;0;0.05;58.156;0;58.156
2021;6;B3A23;D1;0;0.05;56.937;0;56.937
2021;6;B3A23;D2;0;0.05;186.254;108.289;77.965
2021;6;B3A23;D3;0;0.05;10.125;0;10.125
2021;6;B3A24;D1;0;0.05;117.517;0;117.517
2021;6;B3A24;D2;0;0.05;191.86;43.242;148.618
2021;6;B3A24;D3;0;0.05;119.672;0;119.672
2021;6;B4A01;D1;0;0.05;178.683;0;178.683
2021;6;B4A01;D2;0;0.05;75.558;0;75.558
2021;6;B4A01;D3;0;0.05;633.865;215.319;418.545
2021;6;B4A02;D1;0;0.05;58.07;0;58.07
2021;6;B4A02;D2;0;0.05;76.949;20.134;56.815
2021;6;B4A02;D3;0;0.05;184.526;32.936;151.59
2021;6;B4A04;D1;0;0.05;159.281;129.44;29.841
2021;6;B4A04;D2;0;0.05;38.836;0;38.836
2021;6;B4A04;D3;0;0.05;93.03;0;93.03
2021;6;B4A06;D1;0;0.05;72.781;5.797;66.984
2021;6;B4A06;D2;0;0.05;59.792;0;59.792
2021;6;B4A06;D3;0;0.05;82.74;0;82.74
2021;6;B4A07;D1;0;0.05;137.663;85.297;52.366
2021;6;B4A07;D2;0;0.05;30.413;4.133;26.281
2021;6;B4A07;D3;0;0.05;33.844;0;33.844
2021;6;B4A08;D1;0;0.05;110.107;27.929;82.177
2021;6;B4A08;D2;0;0.05;197.852;0;197.852
2021;6;B4A08;D3;0;0.05;87.473;0;87.473
2021;6;B4A09;D1;0;0.05;100.861;28.065;72.796
2021;6;B4A09;D2;0;0.05;42.645;0;42.645
2021;6;B4A09;D3;0;0.05;111.955;0;111.955
2021;6;B4A10;D1;0;0.05;115.335;0;115.335
2021;6;B4A10;D2;0;0.05;231.586;0;231.586
2021;6;B4A10;D3;0;0.05;129.761;0;129.761
2021;6;B4A11;D1;0;0.05;307.476;229.892;77.584
2021;6;B4A11;D2;0;0.05;124.89;32.229;92.661
2021;6;B4A11;D3;0;0.05;37.347;0;37.347
2021;6;B4A12;D1;0;0.05;206.594;29.389;177.205
2021;6;B4A12;D2;0;0.05;264.494;0;264.494
2021;6;B4A12;D3;0;0.05;28.73;0;28.73
2021;6;B4A13;D1;0;0.05;56.305;2.26;54.045
2021;6;B4A13;D2;0;0.05;125.101;67.199;57.902
2021;6;B4A13;D3;0;0.05;17.912;0;17.912
2021;6;B4A14;D1;0;0.05;113.332;55.023;58.309
2021;6;B4A14;D2;0;0.05;51.223;2.201;49.021
2021;6;B4A14;D3;0;0.05;63.605;0;63.605
2021;6;B4A15;D1;0;0.05;26.496;0;26.496
2021;6;B4A15;D2;0;0.05;39.565;0;39.565
2021;6;B4A15;D3;0;0.05;18.461;0;18.461
2021;6;B4A16;D1;0;0.05;57.262;0;57.262
2021;6;B4A16;D2;0;0.05;116.865;36.17;80.695
2021;6;B4A16;D3;0;0.05;144.057;0;144.057
2021;6;B4A17;D1;0;0.05;42.486;16.558;25.928
2021;6;B4A17;D2;0;0.05;30;6.555;23.445
2021;6;B4A17;D3;0;0.05;27.074;0;27.074
2021;6;B4A18;D1;0;0.05;302.628;262.432;40.196
2021;6;B4A18;D2;0;0.05;74.663;34.346;40.317
2021;6;B4A18;D3;0;0.05;148.835;0;148.835
2021;6;B4A20;D1;0;0.05;80.06;26.887;53.174
2021;6;B4A20;D2;0;0.05;121.276;56.554;64.722
2021;6;B4A20;D3;0;0.05;145.333;40.826;104.507
2021;6;B4A21;D1;0;0.05;88.769;73.314;15.455
2021;6;B4A21;D2;0;0.05;522.617;427.556;95.061
2021;6;B4A21;D3;0;0.05;19.385;0;19.385
2021;6;B4A22;D1;0;0.05;319.462;201.839;117.623
2021;6;B4A22;D2;0;0.05;56.044;24.565;31.479
2021;6;B4A22;D3;0;0.05;82.019;67.203;14.815
2021;5;B1A01;D3;0.05;0.1;58.136;0;58.136
2021;5;B1A01;D3;0.1;0.2;49.613;0;49.613
2021;5;B1A01;D3;0.2;0.3;31.597;0;31.597
2021;5;B1A01;D3;0.3;0.4;9.943;0;9.943
2021;6;B1A02;D3;0.05;0.1;241.586;27.228;214.358
2021;6;B1A02;D3;0.1;0.2;167.098;0;167.098
2021;6;B1A02;D3;0.2;0.3;65.585;0;65.585
2021;6;B1A02;D3;0.3;0.4;28.306;0;28.306
2021;6;B1A03;D3;0.05;0.1;76.775;0;76.775
2021;6;B1A03;D3;0.1;0.2;78.161;0;78.161
2021;6;B1A03;D3;0.2;0.3;24.252;0;24.252
2021;6;B1A03;D3;0.3;0.4;20.095;0;20.095
2021;6;B1A04;D3;0.05;0.1;33.364;0;33.364
2021;6;B1A04;D3;0.1;0.2;60.804;0;60.804
2021;6;B1A04;D3;0.2;0.3;39.323;0;39.323
2021;6;B1A04;D3;0.3;0.4;12.403;0;12.403
2021;6;B1A05;D3;0.05;0.1;33.537;0;33.537
2021;6;B1A05;D3;0.1;0.2;63.021;19.731;43.29
2021;6;B1A05;D3;0.2;0.3;31.459;0;31.459
2021;6;B1A05;D3;0.3;0.4;33.711;0;33.711
2021;6;B1A06;D3;0.05;0.1;78.3;0;78.3
2021;6;B1A06;D3;0.1;0.2;88.209;0;88.209
2021;6;B1A06;D3;0.2;0.3;53.597;0;53.597
2021;6;B1A06;D3;0.3;0.4;30.731;0;30.731
2021;6;B1A07;D3;0.05;0.1;26.643;0;26.643
2021;6;B1A07;D3;0.1;0.2;27.89;0;27.89
2021;6;B1A07;D3;0.2;0.3;19.471;0;19.471
2021;6;B1A07;D3;0.3;0.4;7.286;0;7.286
