"Block","Plot","Treatment","Date_of_collection","LDMC","LMA","Leaf_Nitrogen","Leaf_Carbon","Diameter","SRL","RDMC","RTD","Root_Nitrogen","Root_Carbon","Comment_leaf","Comment_root"
"B2","B2A08","D2",2021-06-04,NA,NA,1.67,45.09,0.256,210.16,0.1951,0.0698,1.72,36.45,NA,NA
"B2","B2A08","D3",2021-06-04,0.3317,45.03,2.23476157241711,45.5307840543343,0.293,103.61,0.2093,0.0994,1.61,35.7,NA,NA
"B2","B2A09","D1",2021-06-04,0.195,49.9,1.73,44.85,0.271,93.58,0.1574,0.1145,1.09,38.33,NA,NA
"B2","B2A09","D2",2021-06-04,0.2154,55.5,1.5914178016015,44.0483025181234,0.304,97.37,0.1857,0.1009,1.47,41.1,NA,NA
"B2","B2A09","D3",2021-06-04,0.2117,57.49,1.57,45.12,0.277,54.49,0.2178,0.1717,1,44.77,NA,NA
"B2","B2A10","D1",2021-06-04,0.2938,45.72,2.23,44.58,0.299,89.04,0.2501,0.1007,0.84,35.79,NA,NA
"B2","B2A10","D2",2021-06-04,0.2444,45.21,1.89458070375969,43.6563982305483,0.307,96.47,0.193,0.1003,0.96,39.9,NA,NA
"B2","B2A10","D3",2021-06-04,0.1998,39.93,1.85449996820274,43.6082550502086,0.222,137.74,0.2872,0.1345,0.697654645792861,38.6420755074445,NA,NA
"B2","B2A12","D1",2021-06-07,0.1864,40.57,1.76950738733018,45.5674499914195,0.324,78.36,0.1625,0.1315,1.11,47.37,NA,NA
"B2","B2A12","D2",2021-06-07,0.2236,49,2.01935959328395,46.0736710710699,0.337,84.53,0.136,0.1102,1.22626917514877,43.5928943294417,NA,NA
"B2","B2A12","D3",2021-06-07,0.2404,59.15,1.76,46.27,0.327,78.75,0.1642,0.1121,1.0486026864515,41.8388460727596,NA,NA
"B2","B2A13","D1",2021-06-07,0.1866,56.39,1.6413265703843,44.3325595557837,0.296,61.33,0.2376,0.1416,1.55199660194439,40.3702400495088,NA,NA
